contract,local_path,source_repository,source_link
ERC20SnapshotMixin,contracts/tokenmarketnet/contracts/security-token/ERC20SnapshotMixin.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
SafeMathLib,contracts/tokenmarketnet/contracts/SafeMathLib.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
AuthorizedCallVerifier,contracts/EIP7702/AuthorizedCallVerifier.sol,OpenZeppelin-style Public Implementations,https://github.com/OpenZeppelin/openzeppelin-contracts
BrokerbotRegistry,contracts/brokerbot/BrokerbotRegistry.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
IReactor,contracts/market/IReactor.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
Path,contracts/utils/Path.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
Issuer,contracts/tokenmarketnet/contracts/Issuer.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
AllowlistDraggableShares,contracts/shares/AllowlistDraggableShares.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
PricingStrategy,contracts/tokenmarketnet/contracts/PricingStrategy.sol,TokenMarketNet smart-contracts,https://github.com/TokenMarketNet/smart-contracts
Ownable2Step,contracts/Ownable2Step.sol,OpenZeppelin-style Public Implementations,https://github.com/OpenZeppelin/openzeppelin-contracts
ProxyAdmin,contracts/ProxyAdmin.sol,OpenZeppelin-style Public Implementations,https://github.com/OpenZeppelin/openzeppelin-contracts
ExposedAdminList,contracts/permissioning/contracts/ExposedAdminList.sol,Permissioning Smart Contracts,https://github.com/ConsenSys/permissioning-smart-contracts
AuthorizedExecutor,contracts/EIP7702/AuthorizedExecutor.sol,OpenZeppelin-style Public Implementations,https://github.com/OpenZeppelin/openzeppelin-contracts
AllowlistDraggableFactory,contracts/utils/factory/AllowlistDraggableFactory.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
ERC20PermitLight,contracts/ERC20/ERC20PermitLight.sol,Aktionariat Contracts,https://github.com/aktionariat/contracts
